symbol,name,country,ipo_date,industry,mkt_cap
ONON,On Holding AG,CH,2021-09-15,"Textiles, Apparel & Luxury Goods",9299.361135999998
PPG,PPG Industries Inc,US,1945-12-17,Chemicals,32471.303311
GLMD,Galmed Pharmaceuticals Ltd,IL,2014-03-13,Biotechnology,8.569155
WHD,Cactus Inc,US,2018-02-08,,3275.7520489999997
ZTS,Zoetis Inc,US,2013-02-01,Pharmaceuticals,78284.553397
EQBK,Equity Bancshares Inc,US,2015-11-11,Banking,390.92496
KNTE,Kinnate Biopharma Inc,US,2020-12-03,Biotechnology,284.54056000000014
SWBI,Smith & Wesson Brands Inc,US,1998-10-14,Leisure Products,543.892614
FOXA,Fox Corp,US,2019-02-27,Media,17237.068438
MAS,Masco Corp,US,1969-05-05,Building,10593.555206
PCSA,Processa Pharmaceuticals Inc,US,2013-10-07,Pharmaceuticals,11.549435
EGBN,Eagle Bancorp Inc,US,1988-07-18,Banking,1000.8931130000001
ANVS,Annovis Bio Inc,US,2020-01-29,Biotechnology,103.612303
PCCT,Perception Capital Corp II,US,2021-10-28,,303.6000109584905
TRTN,Triton International Ltd,BM,2005-10-12,Trading Companies & Distributors,3493.978817
MYPS,Playstudios Inc,US,2020-10-23,Media,485.76710999999995
SMSI,Smith Micro Software Inc,US,1995-09-19,Technology,63.957589
TRNS,Transcat Inc,US,1965-07-05,Trading Companies & Distributors,616.7925309999999
EHAB,Enhabit Inc,US,2022-06-23,Health Care,656.9476120000003
AGI,Alamos Gold Inc,CA,2015-07-06,Metals & Mining,6873.71859
INST,Instructure Holdings Inc,US,2021-07-22,Technology,3657.248195000001
CNGL,Canna-Global Acquisition Corp,US,2021-11-30,,313.2738010004728
NUVB,Nuvation Bio Inc,US,2020-07-01,Pharmaceuticals,400.41082799999987
MP,Mp Materials Corp,US,2020-04-30,Metals & Mining,4715.752397
XGN,Exagen Inc,US,2019-09-19,Biotechnology,41.054697
OPGN,OpGen Inc,US,2015-05-05,Biotechnology,7.199165
OII,Oceaneering International Inc,US,1991-12-17,,1721.5202179999999
PJT,PJT Partners Inc,US,2015-09-18,Financial Services,1789.3454190000002
RMBS,Rambus Inc,US,1997-05-14,Semiconductors,5240.488161
LRMR,Larimar Therapeutics Inc,US,2014-06-19,Biotechnology,193.41331200000002
RAIL,FreightCar America Inc,US,2005-04-06,Machinery,53.63845100000001
SILO,Silo Pharma Inc,US,2012-01-05,Biotechnology,7.423172999999999
BAND,Bandwidth Inc,US,2017-11-10,Telecommunication,363.062353
UHAL.B,U-Haul Holding Co,US,1994-03-31,Road & Rail,10138.010809000001
CONX,CONX Corp,US,2020-10-03,,276.7095080000001
ZG,Zillow Group Inc,US,2011-07-20,Real Estate,10446.235622
CENTA,Central Garden & Pet Co,US,1993-07-16,Consumer products,2098.303835
TPR,Tapestry Inc,US,2000-10-05,"Textiles, Apparel & Luxury Goods",9473.715598000004
SHOO,Steven Madden Ltd,US,1993-12-13,"Textiles, Apparel & Luxury Goods",2663.1494859999993
IMRX,Immuneering Corp,US,2021-07-30,Biotechnology,258.238269
